监测站,AQI,空气质量等级,PM2.5,PM10,首要污染物
徐州黄河新村,90,良,60 μg/m3,128 μg/m3,PM10
徐州桃园路,81,良,49 μg/m3,110 μg/m3,PM10
徐州农科院,72,良,43 μg/m3,92 μg/m3,PM10
徐州新城区,71,良,52 μg/m3,84 μg/m3,PM2.5
湘潭科大,72,良,47 μg/m3,93 μg/m3,PM10
湘潭昭山,72,良,36 μg/m3,93 μg/m3,PM10
湘潭板塘,70,良,42 μg/m3,89 μg/m3,PM10
湘潭岳塘,65,良,42 μg/m3,78 μg/m3,PM10
湘潭韶山,61,良,31 μg/m3,70 μg/m3,PM10
湘潭江麓,-,-,-,-,-
湘潭市监测站,-,-,-,-,-
襄阳高新管委会,34,优,16 μg/m3,33 μg/m3,
襄阳襄城运动路,30,优,12 μg/m3,29 μg/m3,
襄阳襄州航空路,30,优,10 μg/m3,29 μg/m3,
襄阳樊城新华路,23,优,9 μg/m3,23 μg/m3,
咸宁长江产业园,68,良,26 μg/m3,85 μg/m3,PM10
咸宁市发改委,68,良,29 μg/m3,85 μg/m3,PM10
咸宁咸安区政府,65,良,20 μg/m3,78 μg/m3,PM10
咸宁森林公园(对照点),63,良,25 μg/m3,74 μg/m3,PM10
孝感文化路,53,良,13 μg/m3,55 μg/m3,PM10
孝感东城区,46,优,21 μg/m3,45 μg/m3,
新乡环保东院,63,良,28 μg/m3,74 μg/m3,PM10
新乡市委党校,52,良,24 μg/m3,53 μg/m3,PM10
新乡环保西院,47,优,22 μg/m3,46 μg/m3,
新乡开发区,41,优,29 μg/m3,31 μg/m3,
信阳平桥分局,38,优,12 μg/m3,37 μg/m3,
信阳审计局,29,优,8 μg/m3,28 μg/m3,
信阳南湾水厂,28,优,20 μg/m3,23 μg/m3,
信阳市酿酒公司,27,优,17 μg/m3,26 μg/m3,
新余飞宇,57,良,35 μg/m3,63 μg/m3,PM10
新余第二水厂,56,良,34 μg/m3,61 μg/m3,PM10
新余市气象局,54,良,35 μg/m3,56 μg/m3,PM10
新余北岗(对照点),52,良,34 μg/m3,52 μg/m3,PM10
新余新钢沁园村,52,良,32 μg/m3,52 μg/m3,PM10
忻州开发区,56,良,32 μg/m3,60 μg/m3,PM10
忻州市政府,56,良,28 μg/m3,61 μg/m3,PM10
忻州会展中心,53,良,37 μg/m3,38 μg/m3,PM2.5
宣城鳌峰子站,49,优,25 μg/m3,48 μg/m3,
宣城敬亭山子站,42,优,23 μg/m3,41 μg/m3,
宣城开发区子站,-,-,-,-,-
湘西州吉首市计生局,70,良,32 μg/m3,89 μg/m3,PM10
湘西州州政府,52,良,27 μg/m3,52 μg/m3,PM10
湘西州跃进水库,40,优,28 μg/m3,32 μg/m3,
兴安盟北滨河,24,优,17 μg/m3,22 μg/m3,
兴安盟胜华新制药厂,20,优,7 μg/m3,20 μg/m3,
兴安盟科右前旗环保局,14,优,5 μg/m3,14 μg/m3,
西双版纳州景洪市江北,18,优,5 μg/m3,18 μg/m3,
西双版纳州景洪市江南,16,优,11 μg/m3,16 μg/m3,
锡林郭勒盟市政府,22,优,4 μg/m3,22 μg/m3,
锡林郭勒盟市环保监测站,21,优,4 μg/m3,21 μg/m3,
银川水乡路,61,良,18 μg/m3,70 μg/m3,PM10
银川学院路,59,良,24 μg/m3,66 μg/m3,PM10
银川文昌北街,54,良,37 μg/m3,56 μg/m3,PM10
银川贺兰山东路,49,优,10 μg/m3,48 μg/m3,
银川上海东路,41,优,7 μg/m3,40 μg/m3,
银川贺兰山马莲口(对照点),19,优,6 μg/m3,19 μg/m3,
雅安建安厂,34,优,23 μg/m3,33 μg/m3,
雅安康养中心(对照点),21,优,10 μg/m3,21 μg/m3,
雅安川农大,14,优,8 μg/m3,14 μg/m3,
雅安市政府,-,-,-,-,-
延安百米大道,38,优,14 μg/m3,37 μg/m3,
延安市监测站,35,优,13 μg/m3,34 μg/m3,
延安延大医附院,28,优,4 μg/m3,27 μg/m3,
延安枣园,17,优,7 μg/m3,17 μg/m3,
烟台西郊化工站,65,良,40 μg/m3,78 μg/m3,PM10
烟台轴承厂,65,良,41 μg/m3,79 μg/m3,PM10
烟台福山环保局,63,良,28 μg/m3,75 μg/m3,PM10
烟台莱山环保局,62,良,39 μg/m3,72 μg/m3,PM10
烟台开发区,52,良,34 μg/m3,53 μg/m3,PM10
烟台牟平检察院,46,优,27 μg/m3,45 μg/m3,
宜兴市环保局,35,优,21 μg/m3,34 μg/m3,
宜兴宜园,34,优,24 μg/m3,25 μg/m3,
盐城电厂,30,优,3 μg/m3,29 μg/m3,
盐城市监测站,26,优,6 μg/m3,25 μg/m3,
盐城开发区管委会,22,优,8 μg/m3,22 μg/m3,
盐城宝龙广场,18,优,10 μg/m3,18 μg/m3,
阳江南恩路,82,良,61 μg/m3,78 μg/m3,PM2.5
阳江马南垌,71,良,52 μg/m3,76 μg/m3,PM2.5
阳江鸳鸯湖,71,良,52 μg/m3,69 μg/m3,PM2.5
阳泉白羊墅,56,良,33 μg/m3,60 μg/m3,PM10
阳泉赛鱼,50,优,25 μg/m3,49 μg/m3,
阳泉南庄,46,优,26 μg/m3,45 μg/m3,
阳泉平坦,38,优,27 μg/m3,33 μg/m3,
阳泉市中心,38,优,27 μg/m3,36 μg/m3,
阳泉大,28,优,20 μg/m3,20 μg/m3,
扬州市体育局,58,良,34 μg/m3,64 μg/m3,PM10
扬州邗江监测站,54,良,5 μg/m3,56 μg/m3,PM10
扬州五台山医院,46,优,19 μg/m3,45 μg/m3,
扬州广陵建设局,40,优,12 μg/m3,39 μg/m3,
义乌北苑,51,良,23 μg/m3,51 μg/m3,PM10
义乌江东,41,优,28 μg/m3,40 μg/m3,
宜宾白酒学院,36,优,21 μg/m3,35 μg/m3,
宜宾黄金嘴,33,优,13 μg/m3,32 μg/m3,
宜宾石马中学,31,优,17 μg/m3,30 μg/m3,
宜宾市政府,29,优,17 μg/m3,28 μg/m3,
宜宾市委,27,优,17 μg/m3,26 μg/m3,
宜宾四中,27,优,18 μg/m3,26 μg/m3,
宜昌点军区,63,良,45 μg/m3,57 μg/m3,PM2.5
宜昌夷陵区,58,良,34 μg/m3,65 μg/m3,PM10
宜昌白龙岗,57,良,35 μg/m3,63 μg/m3,PM10
宜昌四零三,54,良,36 μg/m3,57 μg/m3,PM10
宜昌伍家岗,54,良,36 μg/m3,57 μg/m3,PM10
宜春学院北校区,74,良,50 μg/m3,97 μg/m3,PM10
宜春槟榔水业(对照点),73,良,53 μg/m3,88 μg/m3,PM2.5
宜春市广电局,69,良,50 μg/m3,76 μg/m3,PM2.5
宜春市气象局,69,良,50 μg/m3,80 μg/m3,PM2.5
宜春市石油公司,67,良,44 μg/m3,82 μg/m3,PM10
伊春中心医院,7,优,4 μg/m3,7 μg/m3,
伊春汤旺河国家公园,13,优,4 μg/m3,13 μg/m3,
伊春林管局,10,优,7 μg/m3,10 μg/m3,
营口大庆路,46,优,32 μg/m3,32 μg/m3,
营口镜湖西路,46,优,32 μg/m3,42 μg/m3,
营口学府南路,43,优,30 μg/m3,37 μg/m3,
营口西炮台,40,优,28 μg/m3,33 μg/m3,
鹰潭龙虎山,44,优,31 μg/m3,35 μg/m3,
鹰潭体育馆,43,优,30 μg/m3,41 μg/m3,
鹰潭新监测站,39,优,27 μg/m3,38 μg/m3,
鹰潭财苑宾馆,38,优,27 μg/m3,29 μg/m3,
鹰潭三川水表,37,优,23 μg/m3,36 μg/m3,
益阳赫山环保分局,51,良,23 μg/m3,51 μg/m3,PM10
益阳市环保局,45,优,20 μg/m3,44 μg/m3,
益阳资阳区政务中心,44,优,31 μg/m3,-,
益阳市特殊教育学校,37,优,25 μg/m3,36 μg/m3,
益阳甘溪港,-,-,-,-,-
永州冷水滩区环保局,62,良,44 μg/m3,56 μg/m3,PM2.5
永州零陵区环保局,62,良,44 μg/m3,67 μg/m3,PM2.5
永州零陵南津渡,58,良,41 μg/m3,55 μg/m3,PM2.5
永州市环保局,54,良,37 μg/m3,57 μg/m3,PM10
永州市环境监测站,47,优,32 μg/m3,46 μg/m3,
岳阳南湖风景区,69,良,50 μg/m3,75 μg/m3,PM2.5
岳阳城陵矶,62,良,40 μg/m3,72 μg/m3,PM10
岳阳开发区,62,良,40 μg/m3,72 μg/m3,PM10
岳阳云溪区,61,良,37 μg/m3,71 μg/m3,PM10
岳阳金凤水库,56,良,39 μg/m3,-,PM2.5
岳阳君山区,54,良,37 μg/m3,56 μg/m3,PM10
玉林市监测站,92,良,69 μg/m3,124 μg/m3,PM2.5
玉林南江一中,86,良,64 μg/m3,95 μg/m3,PM2.5
玉林寒山水库,68,良,49 μg/m3,66 μg/m3,PM2.5
榆林环保监测大楼,22,优,8 μg/m3,22 μg/m3,
榆林世纪广场,21,优,8 μg/m3,21 μg/m3,
榆林实验中学,18,优,8 μg/m3,18 μg/m3,
榆林红石峡森林公园(对照点),12,优,4 μg/m3,12 μg/m3,
运城禹都开发区,60,良,32 μg/m3,68 μg/m3,PM10
运城空港新区,58,良,17 μg/m3,65 μg/m3,PM10
运城中学,57,良,33 μg/m3,62 μg/m3,PM10
运城外滩首府,54,良,28 μg/m3,56 μg/m3,PM10
运城地区技校,27,优,19 μg/m3,19 μg/m3,
云浮牧羊,70,良,51 μg/m3,76 μg/m3,PM2.5
云浮新市府,67,良,48 μg/m3,71 μg/m3,PM2.5
云浮市监测站,53,良,37 μg/m3,54 μg/m3,PM10
玉溪一中,56,良,18 μg/m3,60 μg/m3,PM10
玉溪文体中心,52,良,17 μg/m3,53 μg/m3,PM10
玉溪东风水库,36,优,18 μg/m3,35 μg/m3,
延边州妇幼医院,15,优,2 μg/m3,15 μg/m3,
延边州朝阳川镇医院,12,优,4 μg/m3,12 μg/m3,
延边州延边医院,-,-,-,-,-
玉树州玉树县结古镇,20,优,5 μg/m3,20 μg/m3,
伊犁哈萨克州市环保局,43,优,19 μg/m3,42 μg/m3,
伊犁哈萨克州第二水厂,42,优,28 μg/m3,41 μg/m3,
伊犁哈萨克州新政府片区,23,优,16 μg/m3,-,
珠海吉大,91,良,68 μg/m3,86 μg/m3,PM2.5
珠海前山,73,良,53 μg/m3,82 μg/m3,PM2.5
珠海唐家,153,中度污染,117 μg/m3,-,PM2.5
珠海斗门,-,-,-,-,-
张家港市监测站,44,优,21 μg/m3,43 μg/m3,
张家港城北小学,42,优,25 μg/m3,41 μg/m3,
张家界永定新区,76,良,44 μg/m3,100 μg/m3,PM10
张家界电业局,59,良,32 μg/m3,66 μg/m3,PM10
张家界袁家界,56,良,28 μg/m3,60 μg/m3,PM10
张家界未央路,53,良,31 μg/m3,54 μg/m3,PM10
张家口世纪豪园,51,良,22 μg/m3,51 μg/m3,PM10
张家口人民公园,45,优,4 μg/m3,44 μg/m3,
张家口北泵房,40,优,8 μg/m3,39 μg/m3,
张家口五金库,40,优,15 μg/m3,39 μg/m3,
张家口烟厂,34,优,12 μg/m3,33 μg/m3,
章丘明水开发区,70,良,40 μg/m3,88 μg/m3,PM10
章丘东山小学(新增191218),28,优,20 μg/m3,-,
张掖监测站,43,优,22 μg/m3,42 μg/m3,
张掖科委,23,优,16 μg/m3,22 μg/m3,
漳州党校,52,良,29 μg/m3,52 μg/m3,PM10
漳州蓝田镇,40,优,28 μg/m3,38 μg/m3,
漳州九湖(对照点),39,优,17 μg/m3,38 μg/m3,
湛江环保局宿舍,78,良,57 μg/m3,84 μg/m3,PM2.5
湛江霞山游泳场,73,良,53 μg/m3,87 μg/m3,PM2.5
湛江坡头区环保局,69,良,50 μg/m3,56 μg/m3,PM2.5
湛江麻章区环保局,65,良,47 μg/m3,64 μg/m3,PM2.5
湛江影剧院,61,良,43 μg/m3,52 μg/m3,PM2.5
湛江市环境监测站,-,-,-,-,-
肇庆坑口子站,73,良,53 μg/m3,65 μg/m3,PM2.5
肇庆七星岩子站,67,良,48 μg/m3,78 μg/m3,PM2.5
肇庆睦岗子站,63,良,45 μg/m3,45 μg/m3,PM2.5
肇庆城中子站,59,良,42 μg/m3,-,PM2.5
昭通监测站,30,优,21 μg/m3,-,
昭通环保局,11,优,8 μg/m3,-,
招远教育局,39,优,22 μg/m3,38 μg/m3,
